at,status,reasons,forecast_status,forecast_model,cetane_age_days,t95_age_days,cetane_fresh,t95_fresh,regime_class,model,recommended,blocked_only_by_cn_t95_staleness,research_relaxed_upper_bound,year,cetane_age_bin,t95_age_bin
2024-01-11 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,0.875,0.875,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-01-12 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,1.875,0.875,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-01-13 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,2.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-01-13 20:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,3.4166666666666665,0.4166666666666667,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-01-14 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,3.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-01-15 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,4.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-01-16 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,5.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-01-16 17:30:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,6.3125,0.3125,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-01-17 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,6.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-01-18 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,7.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-19 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,8.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-19 20:45:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,9.447916666666666,0.4479166666666667,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-20 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте|cetane: измерение не свежее (stale),abstain,v3,9.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-20 19:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,10.375,0.375,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-21 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,10.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-21 19:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,11.375,0.375,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-22 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,11.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-23 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,12.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-24 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,13.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-25 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,14.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-26 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,15.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-27 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,16.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-28 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,17.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-29 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,18.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-30 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,19.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-30 11:07:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,20.04652777777778,1.0465277777777777,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-30 13:25:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,20.14236111111111,1.1423611111111112,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-30 19:30:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте|cetane: измерение не свежее (stale),abstain,v3,20.395833333333332,0.3958333333333333,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-31 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,20.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-31 12:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,21.083333333333332,1.0833333333333333,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-01 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,21.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-01 19:30:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,22.395833333333332,0.3958333333333333,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-01 23:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,22.541666666666668,0.5416666666666666,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-02 04:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,22.75,0.75,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-02 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте|cetane: измерение не свежее (stale),abstain,v3,22.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-03 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,23.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-04 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,24.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-05 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,25.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-05 15:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,26.208333333333332,0.20833333333333334,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-06 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте|cetane: измерение не свежее (stale),abstain,v3,26.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-07 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,27.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-08 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,28.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-09 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,0.875,0.875,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-02-11 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,2.875,1.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-02-12 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,3.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-02-13 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,4.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-02-14 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,5.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-02-15 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,6.875,0.375,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-02-16 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,7.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-17 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,8.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-17 13:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,9.125,1.125,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-18 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,9.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-19 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,10.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-20 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,11.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-21 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,12.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-22 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,13.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-23 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,14.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-24 09:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,15.958333333333334,0.9583333333333334,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-24 12:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,16.083333333333332,1.0833333333333333,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-25 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте|cetane: измерение не свежее (stale),abstain,v3,16.875,0.7916666666666666,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-26 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,17.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-27 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,18.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-28 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,19.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-29 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,20.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-02-29 18:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,21.333333333333332,0.3333333333333333,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-01 03:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,21.708333333333332,0.7083333333333334,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-01 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,21.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-02 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,22.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-03 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,23.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-04 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,24.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-05 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,25.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-06 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,26.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-07 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,0.875,0.875,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-03-08 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,1.875,0.875,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-03-08 14:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,2.1666666666666665,0.16666666666666666,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-03-09 06:30:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,2.8541666666666665,0.5625,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-03-10 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,3.875,0.8958333333333334,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-03-11 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,4.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-03-12 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,5.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-03-13 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,6.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-03-14 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,7.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-15 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,8.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-03-16 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,9.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-04-23 03:30:00,abstain,Базовая сера: измерение не свежее (stale)|Нет допустимого модельного прогноза для решения по наблюдаемым данным|t95: измерение не свежее (stale)|cetane: измерение не свежее (stale),abstain,v3,47.729166666666664,37.729166666666664,False,False,normal,v3,False,False,False,2024,30-60d,30-60d
2024-04-23 06:24:00,abstain,Базовая сера: измерение не свежее (stale)|Нет допустимого модельного прогноза для решения по наблюдаемым данным|t95: измерение не свежее (stale)|cetane: измерение не свежее (stale),abstain,v3,47.85,37.85,False,False,normal,v3,False,False,False,2024,30-60d,30-60d
2024-04-23 07:00:00,abstain,Базовая сера: измерение не свежее (stale)|Нет допустимого модельного прогноза для решения по наблюдаемым данным|t95: измерение не свежее (stale)|cetane: измерение не свежее (stale),abstain,v3,47.875,37.875,False,False,normal,v3,False,False,False,2024,30-60d,30-60d
2024-04-23 10:21:00,abstain,Базовая сера: измерение не свежее (stale)|Нет допустимого модельного прогноза для решения по наблюдаемым данным|t95: измерение не свежее (stale)|cetane: измерение не свежее (stale),abstain,v3,48.014583333333334,38.014583333333334,False,False,normal,v3,False,False,False,2024,30-60d,30-60d
2024-04-23 13:33:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте|t95: измерение не свежее (stale)|cetane: измерение не свежее (stale),abstain,v3,48.14791666666667,38.14791666666667,False,False,normal,v3,False,False,False,2024,30-60d,30-60d
2024-04-23 23:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,48.541666666666664,0.5416666666666666,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-04-24 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,48.875,0.20833333333333334,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-04-24 12:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,49.083333333333336,0.4166666666666667,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-04-25 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,49.875,0.875,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-04-26 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,0.875,0.875,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-04-26 13:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,1.125,1.125,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-04-26 14:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,1.1666666666666667,0.16666666666666666,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-04-26 17:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,1.2916666666666667,0.2916666666666667,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-04-27 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным,abstain,v3,1.875,0.875,True,True,normal,v3,False,False,False,2024,<=2d,<=2d
2024-04-27 20:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,2.4166666666666665,0.4166666666666667,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-04-28 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,2.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-04-29 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,3.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-04-30 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,4.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
2024-05-01 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,5.875,0.875,False,True,normal,v3,False,False,False,2024,2-7d,<=2d
